Printout for SDDS file twiss.twi

       s            betax          alphax          psix           etax          etaxp        xAperture        betay          alphay          psiy           etay          etayp        yAperture        length        pressure      temperture  
       m              m                            rad             m                             m              m                            rad             m                             m                            nTor            K       
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  0.000000e+00   2.461058e+01   3.556234e-09   0.000000e+00  -5.263842e-03   9.233505e-13   2.500000e-02   2.563776e+00  -2.742015e-11   0.000000e+00   0.000000e+00   0.000000e+00   1.000000e-02   0.000000e+00   1.000000e+00   3.000000e+02 
  1.178538e+02   9.334216e+00   5.559526e+00   6.264985e+01   6.460352e-02  -3.844359e-02   2.500000e-02   7.223903e+00  -2.360756e+00   2.210068e+01   0.000000e+00   0.000000e+00   1.000000e-02   1.070875e-01   1.000000e+00   3.000000e+02 
  2.367033e+02   1.954728e+00   9.978250e-01   1.298877e+02   1.275809e-02  -3.829466e-03   2.500000e-02   2.388138e+00  -9.319846e-01   4.542088e+01   0.000000e+00   0.000000e+00   1.000000e-02   2.150797e-01   1.000000e+00   3.000000e+02 
  3.613241e+02   2.131050e+00   1.398127e+00   1.950177e+02   7.820163e-04  -7.616240e-04   2.500000e-02   1.563500e+01  -1.095680e+00   6.888950e+01   0.000000e+00   0.000000e+00   1.000000e-02   3.283160e-01   1.000000e+00   3.000000e+02 
  4.819801e+02   1.186183e+00  -1.785707e+00   2.625572e+02   1.107954e-02   1.213411e-02   2.500000e-02   2.673611e+00   1.657566e+00   9.180316e+01   0.000000e+00   0.000000e+00   1.000000e-02   4.379497e-01   1.000000e+00   3.000000e+02 
  6.052956e+02   6.899867e+00  -2.611919e-07   3.290224e+02   1.699570e-03   4.959243e-10   2.500000e-02   3.193905e+00  -5.125319e-05   1.152137e+02   0.000000e+00   0.000000e+00   1.000000e-02   5.500000e-01   1.000000e+00   3.000000e+02 
  7.267450e+02   1.211896e+00   1.592823e+00   3.938257e+02   8.589043e-03  -1.677441e-02   2.500000e-02   4.186509e+00  -4.577346e+00   1.380496e+02   0.000000e+00   0.000000e+00   1.000000e-02   6.603546e-01   1.000000e+00   3.000000e+02 
  8.471473e+02   2.433313e+00   1.540722e+00   4.610821e+02   3.158680e-02  -2.390558e-02   2.500000e-02   2.088948e+01   1.386199e+00   1.614203e+02   0.000000e+00   0.000000e+00   1.000000e-02   7.697578e-01   1.000000e+00   3.000000e+02 
  9.724942e+02   1.156446e+00   4.248931e-01   5.269711e+02   1.960601e-02  -1.343830e-02   2.500000e-02   6.504052e+00   2.021058e+00   1.846451e+02   0.000000e+00   0.000000e+00   1.000000e-02   8.836539e-01   1.000000e+00   3.000000e+02 
  1.093505e+03   1.328227e+01  -1.637710e-01   5.954578e+02   7.688799e-02   5.546358e-04   2.500000e-02   6.741343e+00  -1.058919e+00   2.084472e+02   0.000000e+00   0.000000e+00   1.000000e-02   9.936103e-01   1.000000e+00   3.000000e+02 
