Printout for SDDS file twiss.twi

       s            betax          betay           etax           etay     
       m              m              m              m              m       
---------------------------------------------------------------------------
  0.000000e+00   4.602189e+01   7.037431e+00  -4.947556e-04   0.000000e+00 
  0.000000e+00   4.602189e+01   7.037431e+00  -4.947556e-04   0.000000e+00 
  0.000000e+00   4.602189e+01   7.037431e+00  -4.947556e-04   0.000000e+00 
  0.000000e+00   4.602189e+01   7.037431e+00  -4.947556e-04   0.000000e+00 
  0.000000e+00   4.602189e+01   7.037431e+00  -4.947556e-04   0.000000e+00 
  0.000000e+00   4.602189e+01   7.037431e+00  -4.947556e-04   0.000000e+00 
  2.000000e-01   4.603145e+01   7.101368e+00  -4.928349e-04   0.000000e+00 
  4.000000e-01   4.495861e+01   7.347962e+00  -4.850844e-04   0.000000e+00 
  4.500000e-01   4.442547e+01   7.455527e+00  -4.816971e-04   0.000000e+00 
  5.500000e-01   4.336908e+01   7.675028e+00  -4.749223e-04   0.000000e+00 
  4.092552e+00   1.444123e+01   1.921151e+01  -2.349223e-04   0.000000e+00 
  4.092552e+00   1.444123e+01   1.921151e+01  -2.349223e-04   0.000000e+00 
  4.142552e+00   1.415120e+01   1.942668e+01  -2.315349e-04   0.000000e+00 
  4.342552e+00   1.352337e+01   1.957407e+01  -2.221786e-04   0.000000e+00 
  4.392552e+00   1.349419e+01   1.943135e+01  -2.208734e-04   0.000000e+00 
  4.492552e+00   1.343705e+01   1.914823e+01  -2.182631e-04   0.000000e+00 
  7.103168e+00   1.251369e+01   1.285909e+01  -1.501188e-04   0.000000e+00 
  7.103168e+00   1.251369e+01   1.285909e+01  -1.501188e-04   0.000000e+00 
  7.153168e+00   1.250669e+01   1.275935e+01  -1.488137e-04   0.000000e+00 
  7.353168e+00   1.207022e+01   1.279024e+01  -1.411441e-04   0.000000e+00 
  7.403168e+00   1.186233e+01   1.290566e+01  -1.386251e-04   0.000000e+00 
  7.503168e+00   1.145323e+01   1.313922e+01  -1.335871e-04   0.000000e+00 
  1.011378e+01   3.920155e+00   2.052105e+01  -2.065205e-06   0.000000e+00 
  1.011378e+01   3.920155e+00   2.052105e+01  -2.065205e-06   0.000000e+00 
  1.016378e+01   3.835042e+00   2.068658e+01   4.537774e-07   0.000000e+00 
  1.036378e+01   3.710198e+00   2.026719e+01   1.063009e-05   0.000000e+00 
  1.041378e+01   3.731391e+00   1.989703e+01   1.322152e-05   0.000000e+00 
  1.051378e+01   3.777988e+00   1.916768e+01   1.840436e-05   0.000000e+00 
  1.169040e+01   4.748109e+00   1.168578e+01   7.938655e-05   0.000000e+00 
  1.169040e+01   4.748109e+00   1.168578e+01   7.938655e-05   0.000000e+00 
  1.184040e+01   4.927670e+00   1.087764e+01   8.716082e-05   0.000000e+00 
  1.184040e+01   4.927670e+00   1.087764e+01   8.716082e-05   0.000000e+00 
  1.185440e+01   4.945074e+00   1.080389e+01   8.788642e-05   0.000000e+00 
  1.220440e+01   5.415950e+00   9.053531e+00   1.060264e-04   0.000000e+00 
  1.223240e+01   5.456592e+00   8.921251e+00   1.074776e-04   0.000000e+00 
  1.258240e+01   6.001779e+00   7.364608e+00   1.256175e-04   0.000000e+00 
  1.261040e+01   6.048366e+00   7.247825e+00   1.270687e-04   0.000000e+00 
  1.296040e+01   6.667864e+00   5.884900e+00   1.452087e-04   0.000000e+00 
  1.297440e+01   6.694075e+00   5.834114e+00   1.459343e-04   0.000000e+00 
  1.297440e+01   6.694075e+00   5.834114e+00   1.459343e-04   0.000000e+00 
  1.312440e+01   6.981817e+00   5.307988e+00   1.537086e-04   0.000000e+00 
  1.312440e+01   6.981817e+00   5.307988e+00   1.537086e-04   0.000000e+00 
  1.312440e+01   6.981817e+00   5.307988e+00   1.537086e-04   0.000000e+00 
  1.317440e+01   7.080539e+00   5.139933e+00   1.563000e-04   0.000000e+00 
  1.337440e+01   6.953096e+00   4.865560e+00   1.607276e-04   0.000000e+00 
  1.342440e+01   6.792845e+00   4.891741e+00   1.603361e-04   0.000000e+00 
  1.352440e+01   6.480130e+00   4.947389e+00   1.595532e-04   0.000000e+00 
  1.417440e+01   4.700578e+00   5.415877e+00   1.544643e-04   0.000000e+00 
  1.417440e+01   4.700578e+00   5.415877e+00   1.544643e-04   0.000000e+00 
  1.432440e+01   4.352212e+00   5.550274e+00   1.532899e-04   0.000000e+00 
  1.432440e+01   4.352212e+00   5.550274e+00   1.532899e-04   0.000000e+00 
  1.433840e+01   4.320890e+00   5.563320e+00   1.531803e-04   0.000000e+00 
  1.468840e+01   3.603977e+00   5.917389e+00   1.504401e-04   0.000000e+00 
  1.471640e+01   3.552119e+00   5.948032e+00   1.502209e-04   0.000000e+00 
  1.506640e+01   2.972578e+00   6.360057e+00   1.474807e-04   0.000000e+00 
  1.509440e+01   2.931709e+00   6.395337e+00   1.472615e-04   0.000000e+00 
  1.544440e+01   2.489539e+00   6.865316e+00   1.445213e-04   0.000000e+00 
  1.545840e+01   2.474498e+00   6.885232e+00   1.444117e-04   0.000000e+00 
  1.545840e+01   2.474498e+00   6.885232e+00   1.444117e-04   0.000000e+00 
