Printout for SDDS file result.sdds

    Turns         x_79           y_79     
                   m              m       
------------------------------------------
          0   4.814200e-05  -2.019540e-05 
          1  -6.996070e-05  -1.565220e-04 
          2  -1.088220e-04   5.723870e-05 
          3  -2.529190e-05   1.418120e-04 
          4   8.574910e-05  -9.132970e-05 
          5   9.921740e-05  -1.195920e-04 
          6   7.642790e-07   1.194150e-04 
          7  -9.796040e-05   9.022620e-05 
          8  -8.589390e-05  -1.407970e-04 
          9   2.251680e-05  -5.626770e-05 
         10   1.045640e-04   1.535450e-04 
         11   6.817320e-05   1.900200e-05 
         12  -4.476590e-05  -1.576590e-04 
         13  -1.065870e-04   1.875940e-05 
         14  -4.815040e-05   1.523580e-04 
         15   6.384720e-05  -5.542220e-05 
         16   1.029860e-04  -1.385850e-04 
         17   2.582310e-05   8.833250e-05 
         18  -7.989470e-05   1.166680e-04 
         19  -9.500000e-05  -1.161360e-04 
         20  -3.224750e-06  -8.843750e-05 
         21   9.123350e-05   1.368080e-04 
         22   8.221070e-05   5.535190e-05 
         23  -1.910690e-05  -1.494990e-04 
         24  -9.793550e-05  -1.937000e-05 
         25  -6.592170e-05   1.535230e-04 
         26   3.983930e-05  -1.744370e-05 
         27   9.975430e-05  -1.487310e-04 
         28   4.695820e-05   5.296110e-05 
         29  -5.807680e-05   1.354530e-04 
         30  -9.678470e-05  -8.516810e-05 
         31  -2.633720e-05  -1.145220e-04 
         32   7.299020e-05   1.122360e-04 
         33   8.927860e-05   8.718890e-05 
         34   5.064970e-06  -1.326570e-04 
         35  -8.398680e-05  -5.507540e-05 
         36  -7.774550e-05   1.453080e-04 
         37   1.580680e-05   2.005580e-05 
         38   9.064070e-05  -1.495250e-04 
         39   6.284140e-05   1.583640e-05 
         40  -3.530240e-05   1.451270e-04 
         41  -9.276860e-05  -5.053570e-05 
         42  -4.538380e-05  -1.324350e-04 
         43   5.252550e-05   8.205880e-05 
         44   9.039900e-05   1.122390e-04 
         45   2.628130e-05  -1.086200e-04 
         46  -6.671980e-05  -8.575740e-05 
         47  -8.377850e-05   1.287310e-04 
         48  -6.497840e-06   5.455960e-05 
         49   7.729420e-05  -1.412860e-04 
         50   7.334930e-05  -2.047450e-05 
         51  -1.299900e-05   1.456220e-04 
         52  -8.384940e-05  -1.451620e-05 
         53  -5.972470e-05  -1.415520e-04 
         54   3.128240e-05   4.839360e-05 
         55   8.619040e-05   1.293750e-04 
         56   4.365350e-05  -7.921810e-05 
         57  -4.751140e-05  -1.098550e-04 
         58  -8.433100e-05   1.052400e-04 
         59  -2.598060e-05   8.417040e-05 
         60   6.096820e-05  -1.249990e-04 
         61   7.848660e-05  -5.384830e-05 
         62   7.603210e-06   1.374070e-04 
         63  -7.108980e-05   2.066990e-05 
         64  -6.905850e-05  -1.418060e-04 
         65   1.057390e-05   1.343240e-05 
         66   7.749080e-05   1.380060e-04 
         67   5.660910e-05  -4.648770e-05 
         68  -2.768270e-05  -1.262900e-04 
         69  -7.997680e-05   7.660030e-05 
         70  -4.182960e-05   1.073950e-04 
         71   4.293270e-05  -1.020580e-04 
         72   7.854850e-05  -8.246510e-05 
         73   2.550320e-05   1.214320e-04 
         74  -5.564720e-05   5.298530e-05 
         75  -7.339570e-05  -1.336520e-04 
         76  -8.463800e-06  -2.069010e-05 
         77   6.529280e-05   1.380720e-04 
