Printout for SDDS file BunchHaissinski.sdds

       z             rfV         rfHamilton  
       m              V                      
---------------------------------------------
 -4.526870e-02  -3.577060e+06   1.791860e+01 
 -4.496890e-02  -3.552020e+06   1.767600e+01 
 -4.466910e-02  -3.526980e+06   1.743500e+01 
 -4.436930e-02  -3.501950e+06   1.719570e+01 
 -4.406950e-02  -3.476920e+06   1.695810e+01 
 -4.376970e-02  -3.451900e+06   1.672230e+01 
 -4.346990e-02  -3.426890e+06   1.648810e+01 
 -4.317010e-02  -3.401890e+06   1.625570e+01 
 -4.287030e-02  -3.376890e+06   1.602490e+01 
 -4.257050e-02  -3.351900e+06   1.579580e+01 
 -4.227070e-02  -3.326920e+06   1.556850e+01 
 -4.197090e-02  -3.301950e+06   1.534280e+01 
 -4.167120e-02  -3.276980e+06   1.511890e+01 
 -4.137140e-02  -3.252030e+06   1.489660e+01 
 -4.107160e-02  -3.227080e+06   1.467610e+01 
 -4.077180e-02  -3.202150e+06   1.445720e+01 
 -4.047200e-02  -3.177220e+06   1.424000e+01 
 -4.017220e-02  -3.152300e+06   1.402460e+01 
 -3.987240e-02  -3.127390e+06   1.381080e+01 
 -3.957260e-02  -3.102490e+06   1.359870e+01 
 -3.927280e-02  -3.077610e+06   1.338840e+01 
 -3.897300e-02  -3.052730e+06   1.317970e+01 
 -3.867320e-02  -3.027870e+06   1.297270e+01 
 -3.837340e-02  -3.003010e+06   1.276740e+01 
 -3.807360e-02  -2.978170e+06   1.256380e+01 
 -3.777380e-02  -2.953340e+06   1.236190e+01 
 -3.747410e-02  -2.928520e+06   1.216160e+01 
 -3.717430e-02  -2.903710e+06   1.196310e+01 
 -3.687450e-02  -2.878920e+06   1.176620e+01 
 -3.657470e-02  -2.854140e+06   1.157110e+01 
 -3.627490e-02  -2.829370e+06   1.137760e+01 
 -3.597510e-02  -2.804610e+06   1.118580e+01 
 -3.567530e-02  -2.779870e+06   1.099570e+01 
 -3.537550e-02  -2.755140e+06   1.080730e+01 
 -3.507570e-02  -2.730430e+06   1.062060e+01 
